adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
122,0,0,Check-Out,7/7/2015,Allen Hoffman,AHoffman@protonmail.com,387-020-2239,************6785
110.7,1,0,Check-Out,7/7/2015,Michael Yu,Michael_Yu59@comcast.net,648-953-8540,************2015
85.86,0,0,Check-Out,7/11/2015,Anthony Moss,Anthony_Moss18@yandex.com,963-680-1077,************1583
58.95,0,0,Check-Out,7/12/2015,Tony Olson,Tony_O@outlook.com,177-359-1844,************2796
55.68,0,0,Canceled,5/19/2015,Clayton Cowan,Clayton.Cowan31@protonmail.com,504-743-2620,************8621
55.68,0,0,Check-Out,7/13/2015,Mrs. Debra Jackson DDS,DDS_Mrs.@att.com,307-631-6954,************5361
124,0,1,Canceled,6/9/2015,Raymond Young,Young.Raymond92@verizon.com,699-642-7831,************1207
111.15,0,0,Check-Out,7/13/2015,Lisa Schroeder,Schroeder.Lisa@comcast.net,530-765-2207,************6525
134.73,0,0,Check-Out,7/17/2015,Kristin Roberts,Kristin_Roberts56@protonmail.com,697-234-2961,************5111
92.45,0,1,Check-Out,7/17/2015,Howard Williams,Howard_W@outlook.com,725-661-7321,************7698
108.73,0,2,Canceled,4/15/2015,Jennifer Murphy,Murphy.Jennifer59@yandex.com,704-540-0581,************5298
73.8,0,0,Check-Out,7/4/2015,Joshua Delacruz,JoshuaDelacruz@outlook.com,865-382-8535,************7875
98,1,2,Check-Out,7/4/2015,Colleen Murphy,Colleen.Murphy@mail.com,338-111-1480,************2377
131,0,1,Check-Out,7/4/2015,Rebecca Hebert,RHebert34@zoho.com,949-133-1514,************5325
123,0,0,Check-Out,7/4/2015,Robert Campbell,RCampbell@verizon.com,889-737-3353,************8057
94.71,0,0,Check-Out,7/4/2015,Matthew Lang,Lang_Matthew34@hotmail.com,717-746-5383,************9947
123,0,2,Check-Out,7/4/2015,David Mcgee,David_M@aol.com,476-034-9610,************6891
123,0,1,Canceled,5/26/2015,Jill Key,JillKey89@att.com,660-175-9098,************5468
73.8,0,1,Canceled,6/29/2015,Nicole Campbell,NicoleCampbell26@zoho.com,438-796-8267,************2551
117,0,1,Canceled,5/13/2015,James Hill,Hill.James@mail.com,448-162-3076,************1311
196.54,0,1,Check-Out,7/10/2015,Daniel Richard,Daniel_R@xfinity.com,540-499-1735,************9315
99.3,1,2,Check-Out,7/10/2015,Jacob Porter,Porter_Jacob@verizon.com,432-456-4500,************4203
90.95,0,0,Check-Out,7/10/2015,Susan Wilson,Wilson_Susan@comcast.net,253-535-6431,************9666
92.67,0,1,Check-Out,7/7/2015,Barbara Alvarez,Barbara.A87@outlook.com,358-294-6282,************1072
71.55,1,0,Check-Out,7/7/2015,Noah Bowers,NoahBowers@protonmail.com,773-380-8502,************7381
96.49,0,2,Check-Out,7/10/2015,Thomas Morales,Morales.Thomas@att.com,952-506-4281,************6048
85.8,1,2,Check-Out,7/10/2015,Christopher Wilson,Christopher.Wilson@mail.com,189-137-7120,************7117
96.3,0,1,Check-Out,7/11/2015,Marcus Mitchell,Marcus.Mitchell40@hotmail.com,496-320-0970,************5645
163,0,0,Canceled,6/9/2015,Joshua Bailey,JBailey29@aol.com,995-641-6241,************8273
172,0,1,Canceled,5/20/2015,Dennis Weaver,DWeaver@yandex.com,247-140-1235,************5292
110.7,0,1,Canceled,4/22/2015,William Gordon,WilliamGordon@xfinity.com,244-158-4067,************9110
58.95,0,1,Check-Out,7/11/2015,Nicholas Acosta,NAcosta52@gmail.com,879-786-1294,************4489
73.8,0,2,Check-Out,7/11/2015,Angel Smith,Angel_S@zoho.com,777-065-6700,************8689
97,0,2,Check-Out,7/11/2015,Rebecca Brooks,Rebecca.Brooks84@yahoo.com,851-509-5189,************7896
139,0,2,Check-Out,7/11/2015,John Rojas,John_R@gmail.com,817-841-9453,************9251
67.24,0,0,Check-Out,7/11/2015,Julie Rivera,JulieRivera@verizon.com,375-746-1425,************5004
116.5,0,1,Check-Out,7/12/2015,Roberto Watson,Watson.Roberto@xfinity.com,219-113-9337,************6650
96.3,0,1,Canceled,5/12/2015,Joseph Yu,Joseph_Yu48@aol.com,169-899-0305,************1296
123,0,1,Check-Out,7/12/2015,George Campbell,Campbell_George@zoho.com,341-285-3564,************8700
71.55,0,1,Check-Out,7/14/2015,Edwin Norton,Edwin_Norton@aol.com,203-192-1183,************7834
71.55,0,1,Check-Out,7/14/2015,Leslie Lewis,LeslieLewis@xfinity.com,579-451-3893,************7290
149,0,1,Check-Out,7/14/2015,Wendy Adkins,Adkins_Wendy86@gmail.com,855-406-2365,************2163
163,1,0,Check-Out,7/5/2015,Brenda Rodgers,Brenda.Rodgers@xfinity.com,947-400-1398,************4454
79.5,0,0,Check-Out,7/5/2015,Michael Griffin MD,MMD@hotmail.com,321-266-0289,************1445
105,0,0,Canceled,5/29/2015,Todd Cox,Todd.Cox97@verizon.com,980-217-8754,************4279
123,0,0,No-Show,7/4/2015,Linda Anderson,LindaAnderson@att.com,161-412-7478,************7036
73.8,0,2,Canceled,5/13/2015,Sharon Nelson,Nelson_Sharon70@xfinity.com,862-437-9998,************1883
113,0,0,Canceled,6/16/2015,Mario Bennett,Mario_Bennett@hotmail.com,584-994-9131,************5128
0,0,1,Check-Out,7/5/2015,Kristin Campos,Kristin.Campos48@att.com,574-702-2890,************4400
123,0,0,Check-Out,7/5/2015,Tamara Kennedy,Kennedy.Tamara@comcast.net,770-218-7968,************3323
73.8,1,1,Check-Out,7/6/2015,Tiffany Phillips,Tiffany.Phillips@outlook.com,780-067-0965,************5509
114.5,0,0,Check-Out,7/6/2015,Larry Velasquez,LarryVelasquez83@yahoo.com,939-592-8567,************8815
73.8,0,2,Check-Out,7/6/2015,Troy Wolf,Wolf.Troy22@gmail.com,951-206-5844,************7576
73.8,0,1,Check-Out,7/6/2015,Richard Jones,Richard.J@att.com,998-911-5071,************2699
88.2,0,1,Check-Out,7/6/2015,Samantha Porter,Porter.Samantha@protonmail.com,355-960-5246,************1776
97,0,0,Canceled,7/1/2015,Michael Bass,Bass_Michael@att.com,994-189-2675,************8906
85.1,0,0,Check-Out,7/6/2015,Glen Chavez,Chavez_Glen@xfinity.com,702-737-4764,************6113
89,0,0,Check-Out,7/6/2015,Rebecca Jones,Jones_Rebecca@comcast.net,140-142-8767,************5663
80.1,0,0,Check-Out,7/6/2015,Dr. Michael Gallegos,Gallegos_Dr.61@xfinity.com,864-609-4982,************2512
98,0,0,Check-Out,7/6/2015,Veronica Allen,Veronica.A@comcast.net,171-794-8523,************3231
101,1,0,Check-Out,7/6/2015,Mike Anderson,Anderson_Mike50@mail.com,582-743-3948,************1286
97,0,0,Canceled,7/1/2015,James Foster,Foster.James@att.com,941-412-0617,************9670
167,0,1,Check-Out,7/6/2015,Brian Fisher,Brian_Fisher86@comcast.net,460-149-7682,************6637
225,2,0,Check-Out,7/7/2015,Elizabeth Wilson,Elizabeth.W17@zoho.com,957-432-0410,************7590
97,1,0,Check-Out,7/7/2015,Joshua Graham,Joshua.G42@gmail.com,836-923-6657,************9251
87.3,0,2,Check-Out,7/9/2015,Kevin Lee,Kevin.Lee17@verizon.com,606-443-7740,************9268
85.59,1,2,Check-Out,7/10/2015,Eric Pugh,EricPugh@mail.com,908-309-5196,************8507
123,0,0,Check-Out,7/10/2015,Kendra Kent,KKent@comcast.net,772-663-8044,************3052
107,0,0,Check-Out,7/10/2015,Ashley Hall,Hall_Ashley@zoho.com,544-294-5585,************4915
163,0,0,Check-Out,7/11/2015,Rodney Bailey,RBailey@comcast.net,166-043-5989,************6074
82,0,0,Check-Out,7/11/2015,Pamela West,West_Pamela@zoho.com,253-544-6073,************1168
163,0,0,Canceled,6/17/2015,Patrick Curry,PatrickCurry89@att.com,902-943-2896,************3200
105.5,0,0,Canceled,5/1/2015,Stacey Chan,Stacey.C@yandex.com,740-725-8190,************8559
164.2,1,1,Check-Out,7/12/2015,Patricia Serrano,Patricia_S@xfinity.com,137-762-7073,************9521
97.29,0,1,Check-Out,7/12/2015,John Anderson,Anderson_John67@yandex.com,543-200-9275,************5931
114,0,1,Canceled,3/30/2015,Dawn Adams,Dawn.A68@protonmail.com,996-913-7836,************1672
98.4,0,0,Check-Out,7/12/2015,Molly Mclaughlin,Molly.Mclaughlin23@xfinity.com,884-859-4497,************8498
175,1,1,Check-Out,7/14/2015,Amanda Fox,Amanda_Fox@verizon.com,905-024-0862,************8413
63.6,1,2,Check-Out,7/15/2015,Rose Gutierrez,Rose_G65@outlook.com,549-437-1292,************8779
124.45,1,1,Check-Out,7/15/2015,Alexander Bass,Bass_Alexander65@zoho.com,378-238-0167,************1957
110.7,0,0,Check-Out,7/16/2015,Leslie Wilson,LeslieWilson@comcast.net,954-271-5882,************6368
74.07,0,0,Check-Out,7/19/2015,Emily Pennington,EPennington@protonmail.com,468-989-6508,************7209
134.1,0,0,Check-Out,7/19/2015,Mary Mendez,MaryMendez@protonmail.com,939-016-1514,************1356
167,0,0,Check-Out,7/11/2015,Rebecca Price,Rebecca.Price@zoho.com,805-825-8710,************9954
123,0,2,Check-Out,7/10/2015,Diana Mcdowell DDS,DDDS@comcast.net,552-624-5025,************1152
117.81,1,2,Check-Out,7/10/2015,Jennifer Terry,Jennifer_Terry58@outlook.com,831-324-4638,************3696
171.32,0,1,Check-Out,7/10/2015,Andrew Barnett,Andrew.B@yahoo.com,387-017-4651,************2336
210,1,0,Check-Out,7/10/2015,Evelyn Day,Day.Evelyn@outlook.com,909-666-8383,************1007
97,0,2,Check-Out,7/10/2015,Natalie Anderson,Anderson_Natalie@gmail.com,109-008-2223,************3320
117.81,0,2,Check-Out,7/10/2015,Kathryn Morgan,Morgan_Kathryn@mail.com,257-130-2832,************7653
0,0,2,Check-Out,7/6/2015,Stacy Simmons,Stacy.Simmons@comcast.net,221-859-1786,************8761
0,0,0,Check-Out,7/6/2015,Rebecca Reyes,Reyes.Rebecca@xfinity.com,864-063-3615,************9535
131,0,0,Check-Out,7/7/2015,Tracey Hebert,Tracey.Hebert39@xfinity.com,111-308-0722,************5219
98,0,2,Check-Out,7/8/2015,Jessica Cunningham,Jessica_C20@aol.com,151-653-3240,************2684
87.3,1,1,Check-Out,7/8/2015,Stephanie Rodriguez,Stephanie.R@mail.com,492-513-1267,************8024
97,0,1,Check-Out,7/9/2015,Richard Arias,Richard.Arias28@att.com,121-706-9987,************8099
167,0,0,Canceled,6/3/2015,Courtney Barr,Barr.Courtney@mail.com,565-728-6878,************8887
91.5,0,0,Check-Out,7/10/2015,Justin Webb,Justin.W@protonmail.com,438-241-1182,************5014
73.8,0,1,Check-Out,7/10/2015,Audrey Garcia,Audrey.Garcia66@verizon.com,417-006-5431,************4291
123,0,0,Check-Out,7/11/2015,George Mcgee,GeorgeMcgee@comcast.net,593-095-2633,************7953
175,1,0,Check-Out,7/11/2015,Michelle Perez,Michelle.P@xfinity.com,250-829-1432,************8665
117.8,1,1,Check-Out,7/12/2015,Kelly Rogers,Rogers.Kelly@gmail.com,115-960-2405,************8379
117.63,0,0,Check-Out,7/12/2015,Kelly Daniels,Kelly_D@aol.com,411-117-7672,************3541
185,0,0,Check-Out,7/13/2015,Chelsea Wilson,CWilson@yandex.com,668-922-1704,************6386
71,0,1,Canceled,6/26/2015,Nicolas Adams,Nicolas_A@outlook.com,782-435-5260,************5434
47.25,0,0,Check-Out,7/13/2015,Jane Mckinney,Mckinney.Jane@comcast.net,456-520-4308,************6697
151,0,1,Check-Out,7/14/2015,Derrick Washington,Derrick_W94@outlook.com,847-382-3634,************8908
87.3,0,0,Canceled,5/14/2015,Molly Schultz,MSchultz71@hotmail.com,974-292-3185,************9039
120.6,0,1,Check-Out,7/16/2015,Jesse Wright,Jesse.Wright@comcast.net,508-856-4146,************9813
63.86,0,1,Check-Out,7/16/2015,Paula Howard,Paula_Howard@xfinity.com,695-262-6342,************7774
157.1,0,1,Check-Out,7/16/2015,Norman Clark,Norman.C23@hotmail.com,440-687-4171,************2605
91.37,0,2,Check-Out,7/16/2015,Sarah Carter,Sarah.C@comcast.net,804-211-4572,************9997
73,0,0,Check-Out,7/17/2015,Mary Robinson,Robinson_Mary34@att.com,888-249-8421,************1563
110.7,0,0,Check-Out,7/20/2015,Sarah Wong,Sarah.W@protonmail.com,326-587-4615,************3957
93.6,0,0,Check-Out,7/20/2015,Jonathan Torres,Jonathan.T@comcast.net,855-384-8008,************4487
83.5,0,0,Check-Out,7/13/2015,Tammy Delgado,TammyDelgado@comcast.net,706-745-8515,************7117
73.8,0,1,Canceled,5/7/2015,Kimberly Frazier,Frazier.Kimberly@yandex.com,344-108-6833,************5371
82,1,2,Check-Out,7/10/2015,Victoria Herman,VictoriaHerman@zoho.com,636-521-2700,************5995
185.5,0,1,Check-Out,7/10/2015,Abigail Bowers,Abigail_Bowers@yahoo.com,424-006-6247,************4419
0,0,1,Check-Out,7/7/2015,Veronica Howard,VHoward23@gmail.com,111-927-4772,************2370
0,0,1,Check-Out,7/7/2015,Jenna Harrington,Jenna_Harrington@protonmail.com,867-881-8792,************1943
109.8,0,3,Check-Out,7/8/2015,Elizabeth Hendrix,EHendrix@yandex.com,400-915-3410,************9424
195,1,0,Check-Out,7/8/2015,Shannon Tate,Tate.Shannon54@yahoo.com,631-059-6418,************3680
109.8,0,3,Check-Out,7/8/2015,Christopher Briggs Jr.,Christopher_J25@gmail.com,964-874-5359,************2292
193,0,1,Check-Out,7/11/2015,Virginia Jones,Jones.Virginia@zoho.com,554-132-9279,************2645
97,0,2,Check-Out,7/11/2015,Casey Cobb,Casey.Cobb89@outlook.com,271-313-2202,************9122
150,0,1,Check-Out,7/11/2015,Timothy Kim,Timothy.K@xfinity.com,202-231-2444,************3446
98,0,0,Check-Out,7/11/2015,Daniel Gilbert,DGilbert@xfinity.com,745-933-4870,************8757
91.5,0,0,Canceled,5/28/2015,Cheryl Adams,CAdams@outlook.com,191-005-2632,************8645
139,0,2,Canceled,4/13/2015,Luis Grant,Luis_Grant@aol.com,678-415-9913,************6817
79.5,0,0,Check-Out,7/14/2015,Kevin Blankenship,Kevin.B@gmail.com,615-321-3635,************3700
47.25,0,0,Canceled,3/25/2015,Roberto Wolfe,RWolfe@yahoo.com,257-539-3194,************7375
126.65,0,1,Check-Out,7/21/2015,Lance Lopez,LLopez@verizon.com,966-516-2035,************1417
107,0,1,Check-Out,7/11/2015,Robert Baker,RBaker@zoho.com,304-566-1032,************5253
131,1,2,Check-Out,7/12/2015,Brianna Malone,Malone.Brianna70@comcast.net,586-419-6920,************3735
131,1,1,Check-Out,7/12/2015,Paul Wilson,Paul_Wilson@gmail.com,513-917-6799,************9836
123,0,1,Canceled,5/28/2015,Derek Peterson,DPeterson@xfinity.com,231-825-5365,************5164
146,0,1,Check-Out,7/12/2015,Brian Greene,Greene_Brian@comcast.net,185-289-7027,************7306
110.7,0,1,Check-Out,7/12/2015,Seth Marshall,Seth_M@att.com,864-764-3237,************5268
73.8,0,1,Canceled,6/29/2015,Sarah Wagner,Wagner.Sarah@yandex.com,255-727-3402,************1359
61,0,0,Check-Out,7/9/2015,Michael Rivas,Rivas_Michael63@xfinity.com,731-847-6372,************8558
104.72,0,1,Canceled,7/8/2015,Amanda Myers,AmandaMyers@att.com,692-752-0185,************8187
104.72,0,1,Canceled,7/8/2015,Joshua Patrick,JoshuaPatrick@xfinity.com,868-836-9111,************9404
104.72,1,1,Check-Out,7/10/2015,Martin Mcknight,Mcknight.Martin17@comcast.net,880-037-2943,************5090
66.42,0,1,Canceled,5/28/2015,Robert Wagner,Robert_Wagner78@att.com,214-203-7077,************7287
77.96,1,1,Check-Out,7/14/2015,Leah Payne,Leah_Payne26@yahoo.com,547-173-4121,************7465
112,0,1,Canceled,4/15/2015,Victoria Stewart,VictoriaStewart31@yahoo.com,286-727-0925,************7329
107,0,1,Check-Out,7/15/2015,Mr. Ryan Wright,MWright51@aol.com,322-031-8553,************7002
89.68,0,0,Check-Out,7/15/2015,William Duncan,William.Duncan26@hotmail.com,258-818-1494,************8367
155,0,0,Check-Out,7/15/2015,Jonathan Kelly,Kelly_Jonathan@zoho.com,818-429-6070,************9034
112,0,1,Check-Out,7/16/2015,Erik Young,EYoung@gmail.com,861-177-8420,************1904
130.1,0,3,Check-Out,7/17/2015,Brittany Smith,BSmith32@yandex.com,808-777-1340,************5801
100.1,0,2,Check-Out,7/17/2015,Jennifer Oliver,Jennifer.Oliver@outlook.com,400-377-8953,************3905
123,0,3,Check-Out,7/10/2015,Jennifer Cunningham,Jennifer.Cunningham@comcast.net,410-916-8076,************9435
124,1,1,Check-Out,7/11/2015,Judy Lucero,Judy.Lucero94@protonmail.com,810-207-7781,************5499
146,1,0,Check-Out,7/11/2015,Stephanie Mccoy,Mccoy_Stephanie@zoho.com,856-389-4559,************8631
97,0,0,Canceled,6/2/2015,Amy Lee,AmyLee70@att.com,487-969-0276,************9252
123,0,1,Canceled,6/16/2015,Phyllis Dunn,PDunn@aol.com,323-363-3142,************2897
153,0,0,Canceled,6/16/2015,Joseph Nichols,Joseph.N@yahoo.com,356-443-7988,************1886
82,0,2,Check-Out,7/12/2015,Robert Gonzalez,RobertGonzalez@hotmail.com,313-497-8939,************8826
105.08,0,0,Canceled,6/23/2015,Jenna Castillo,Castillo.Jenna@yahoo.com,928-974-9546,************5866
65.42,0,0,Canceled,6/27/2015,Karen Harris,Karen_H@protonmail.com,792-593-6138,************4088
98,0,1,Check-Out,7/13/2015,Kristen Williams,Kristen.Williams@protonmail.com,421-586-4415,************2999
75.46,1,1,Check-Out,7/14/2015,Bradley Dickson,Dickson_Bradley@yahoo.com,189-235-1026,************6371
65.5,0,0,Check-Out,7/14/2015,Rodney Ford,RodneyFord39@mail.com,217-265-5429,************5853
90.95,0,0,Check-Out,7/16/2015,Christopher Giles,CGiles29@comcast.net,384-250-2031,************8657
93.6,0,0,Check-Out,7/16/2015,Tracy Escobar,Tracy.Escobar85@gmail.com,633-436-5830,************9203
119.25,0,0,Check-Out,7/16/2015,Tracy Johnson,TJohnson85@hotmail.com,544-165-5069,************1563
134.73,0,0,Check-Out,7/16/2015,Mark Cox MD,MarkMD62@mail.com,515-974-2223,************8211
112,0,1,Check-Out,7/16/2015,Brooke Martin,BMartin@aol.com,188-464-0257,************4539
118.13,0,2,Canceled,5/13/2015,Victoria Vargas,Vargas.Victoria86@mail.com,157-480-0120,************4334
131,0,0,Check-Out,7/11/2015,Amanda Johnson,Amanda_Johnson30@att.com,660-317-3148,************7967
88.2,0,0,Check-Out,7/12/2015,Kevin Wu,Kevin.Wu@xfinity.com,841-768-8185,************7687
73.8,0,1,Check-Out,7/12/2015,Thomas Johnson,TJohnson28@mail.com,366-028-0992,************3010
98,0,0,Check-Out,7/12/2015,Jamie Smith,JSmith@gmail.com,657-992-2925,************1377
110.5,0,1,Check-Out,7/12/2015,Brianna Montgomery,Montgomery.Brianna@xfinity.com,720-949-2293,************9305
131,0,1,Check-Out,7/12/2015,Marie Sullivan,MarieSullivan@yahoo.com,514-614-7652,************5579
185,1,1,Check-Out,7/12/2015,Aaron Miller,Aaron_Miller@hotmail.com,172-367-8367,************5513
87.3,0,2,Check-Out,7/12/2015,Roy Murphy,RMurphy52@yahoo.com,231-300-5662,************7716
73.8,0,1,Check-Out,7/12/2015,Catherine Chan DDS,Catherine_DDS@comcast.net,289-972-2718,************3929
120,0,1,Check-Out,7/13/2015,Amy Khan,Amy.Khan@zoho.com,525-397-8737,************7377
98,0,1,Check-Out,7/13/2015,Joshua Sullivan,Joshua_Sullivan@comcast.net,151-760-5294,************5389
96.3,0,2,Check-Out,7/13/2015,Brooke Mccarty,Brooke.Mccarty@protonmail.com,679-028-8706,************9589
197,0,1,Check-Out,7/14/2015,Kelsey Herman,Herman.Kelsey34@mail.com,975-614-7112,************1538
197,0,1,Check-Out,7/14/2015,Dakota Ponce,DakotaPonce45@yandex.com,909-908-7981,************6436
123,0,0,Canceled,6/29/2015,Dawn Frost,Frost.Dawn@verizon.com,335-002-8727,************8391
82,0,2,Check-Out,7/15/2015,Cynthia Meadows,CMeadows@hotmail.com,479-770-5950,************3037
165,1,3,Check-Out,7/15/2015,Patrick Wood,Patrick.W@mail.com,595-110-6891,************3555
149.4,0,0,Check-Out,7/15/2015,Patricia Green,Green.Patricia@aol.com,554-568-3298,************9086
106.84,1,2,Check-Out,7/17/2015,Diane Brown,Diane_B@xfinity.com,775-172-3008,************8666
161,1,1,Check-Out,7/17/2015,Michael Gibson,MGibson36@hotmail.com,251-345-2664,************2795
134.43,0,2,Check-Out,7/17/2015,Christopher Daniel,Christopher_D99@yahoo.com,489-846-4333,************7831
144.43,1,2,Check-Out,7/17/2015,Brandon Beck,Brandon_B51@xfinity.com,342-274-5500,************3383
152,0,0,Check-Out,7/17/2015,Jesse Salazar,Jesse.S@yandex.com,636-161-4607,************7184
125.54,0,3,Check-Out,7/17/2015,Faith Davis,FaithDavis@yahoo.com,400-009-5678,************5276
133.83,0,2,Check-Out,7/17/2015,Richard Ferguson,RFerguson@protonmail.com,907-285-6596,************2049
159.75,1,0,Check-Out,7/18/2015,Jimmy Burch,Jimmy.Burch21@yahoo.com,845-796-0670,************6133
120.6,0,2,Check-Out,7/19/2015,Kyle Singh,Singh_Kyle@hotmail.com,534-089-2176,************9515
112.2,0,0,Check-Out,7/20/2015,Tammy Hill,Hill_Tammy@zoho.com,296-377-6859,************8672
110.6,0,0,Check-Out,7/21/2015,Teresa Parrish,Parrish_Teresa@gmail.com,999-248-4556,************7710
105.9,0,0,Check-Out,7/23/2015,Mrs. Shannon Riggs,Riggs.Mrs.@mail.com,811-761-4010,************1148
95.27,0,3,Check-Out,7/17/2015,Cody Smith,Smith.Cody@comcast.net,267-910-2501,************4136
